model,metric,N,Trotter_fit,MPF_fit,QSVT_fit_corrected
TFIM,cnot_count,27.534102438693033,269809.0702008331,2000359.2546113261,56766359.753744
TFIM,cnot_count,28.13906392531178,284880.1656499933,2097282.8875377383,60840151.353223644
TFIM,cnot_count,28.75731723435717,300793.10795726185,2198879.7634722725,65206316.03074067
TFIM,cnot_count,29.389154405152908,317594.92131772166,2305374.2231665053,69885839.41616447
TFIM,cnot_count,30.034873893521777,335335.2566214418,2417001.334844617,74901213.56223616
TFIM,cnot_count,30.694780712764878,354066.5381763893,2534007.4053616393,80276545.08855215
TFIM,cnot_count,31.3691865777382,373844.1186270327,2656650.5156405377,86037671.0894397
TFIM,cnot_count,32.05841005209491,394726.4425264528,2785201.081537911,92212283.36314104
TFIM,cnot_count,32.76277669876267,416775.21904532786,2919942.4413426323,98830061.55972736
TFIM,cnot_count,33.48261923372717,440055.60432815517,3061171.4711682005,105922815.88806242
TFIM,cnot_count,34.218277683194565,464636.39403559855,3209199.2295596804,113524640.06811064
TFIM,cnot_count,34.97009954420676,490590.2266419366,3364351.6326978966,121672075.26415677
TFIM,cnot_count,35.7384399487859,517993.7980883764,3526970.1616493547,130404285.78731392
TFIM,cnot_count,36.523661831685196,546928.0884265477,3697412.6031783237,139763247.41230178
TFIM,cnot_count,37.32613610182542,577478.6011219426,3876053.8257093485,149793949.21414006
TFIM,cnot_count,38.14624181749827,609735.6157244467,4063286.592103395,160544609.8954344
TFIM,cnot_count,38.984366365418985,643794.4546526393,4259522.410989122,172066909.64461532
TFIM,cnot_count,39.840905643713086,679755.7648802302,4465192.428473265,184416238.64017475
TFIM,cnot_count,40.71626424892361,717725.8153570417,4680748.362140027,197651963.39604026
TFIM,cnot_count,41.61085566712708,757816.8110434371,4906663.479339332,211837712.22898942
TFIM,cnot_count,42.52510246924868,800147.2244862205,5143433.621858381,227041681.22099367
TFIM,cnot_count,43.4594365106685,844842.1459157938,5391578.279169728,243336962.14796412
TFIM,cnot_count,44.41429913521372,892033.6528992049,5651641.7125522075,260801893.9519828
TFIM,cnot_count,45.39014138363255,941861.2006413914,5924194.132489887,279520439.4473776
TFIM,cnot_count,46.38742420664875,994472.0340880249,6209832.931867131,299582589.0723287
TFIM,cnot_count,47.40661868269723,1050021.6230477472,6509183.977596813,321084793.62778276
TFIM,cnot_count,48.44820624044346,1108674.1216196276,6822902.963442975,344130428.08487046
TFIM,cnot_count,49.512678886192134,1170602.853283491,7151676.826929735,368830288.69143486
TFIM,cnot_count,50.60053943629218,1235990.8230865917,7496225.233363712,395303125.76844656
TFIM,cnot_count,51.712301754648045,1305031.2584402235,7857302.130140991,423676214.75872135
TFIM,cnot_count,52.848490995449545,1377928.1801243247,8235697.374658233,454085968.2743447
TFIM,cnot_count,54.009643851234536,1454897.005187483,8632238.439304292,486678592.08637464
TFIM,cnot_count,55.19630880640215,1536165.183523954,9047792.197172727,521610788.2117492
TFIM,cnot_count,56.40904639629592,1621972.8700088197,9483266.792306427,559050508.4788662
TFIM,cnot_count,57.64842947197929,1712573.6341775514,9939613.598466026,599177762.1960303
TFIM,cnot_count,58.9150434708288,1808235.209547104,10417829.270600878,642185481.8072153
