model,metric,a,b_logN,c_logL,R2_log,multiplicative_RMSE
TFIM,cnot_count,4.062497060797502,2.6319529735012526,2.483907860668154,0.9531142427399818,1.7348916851886689
TFIM,t_count,6.791797353719803,2.6589394004521734,3.080793516210424,0.9542726894852034,1.7627797295188605
Heisenberg,cnot_count,6.409614357964155,2.3041016370256906,2.8786232241533334,0.9812761803644554,1.3676963852106134
Heisenberg,t_count,9.17252688104568,2.3150068714330954,3.4522996039347307,0.981307093413126,1.3844816704410925
