model,metric,log10_epsilon,Trotter_fit,MPF_fit,QSVT_fit
TFIM,cnot_count,-3.775,885096.10669502,160706248.3634615,20475952.070230126
TFIM,cnot_count,-3.75,872452.4463730891,159308634.2402752,20476114.355796635
TFIM,cnot_count,-3.7249999999999996,859989.4174650423,157918306.9369933,20476276.715068065
TFIM,cnot_count,-3.7,847704.4393742019,156535254.02065188,20476439.146191973
TFIM,cnot_count,-3.675,835594.9683728989,155159463.03558198,20476601.647226673
TFIM,cnot_count,-3.65,823658.4970757281,153790921.5032874,20476764.21613686
TFIM,cnot_count,-3.625,811892.5539203441,152429616.92232263,20476926.850789692
TFIM,cnot_count,-3.5999999999999996,800294.7026556478,151075536.7681673,20477089.548950396
TFIM,cnot_count,-3.575,788862.5418373132,149728668.49310112,20477252.308277413
TFIM,cnot_count,-3.55,777593.7043305027,148388999.5260773,20477415.126317587
TFIM,cnot_count,-3.525,766485.8568196965,147056517.27259433,20477578.00050135
TFIM,cnot_count,-3.5,755536.699325525,145731209.11456677,20477740.92813668
TFIM,cnot_count,-3.4749999999999996,744743.9647284964,144413062.4101953,20477903.906404242
TFIM,cnot_count,-3.45,734105.4182995495,143102064.49383643,20478066.932350583
TFIM,cnot_count,-3.425,723618.8572372831,141798202.67586774,20478230.00288248
TFIM,cnot_count,-3.4,713282.1102118286,140501464.24255538,20478393.114760086
TFIM,cnot_count,-3.375,703093.0369152159,139211836.45591882,20478556.264589865
TFIM,cnot_count,-3.3499999999999996,693049.5276181826,137929306.5535944,20478719.448817234
TFIM,cnot_count,-3.325,683149.5027332945,136653861.74869847,20478882.663719073
TFIM,cnot_count,-3.3,673390.9123843337,135385489.22968638,20479045.905395202
TFIM,cnot_count,-3.275,663771.7359818136,134124176.16021475,20479209.169759855
TFIM,cnot_count,-3.25,654289.9818045793,132869909.67899759,20479372.45253258
TFIM,cnot_count,-3.2249999999999996,644943.6865873741,131622676.8996665,20479535.749228787
TFIM,cnot_count,-3.2,635730.9151143043,130382464.91062227,20479699.05514902
TFIM,cnot_count,-3.175,626649.7598181093,129149260.77489288,20479862.36536878
TFIM,cnot_count,-3.15,617698.3403851632,127923051.52998517,20480025.6747268
TFIM,cnot_count,-3.125,608874.8033661119,126703824.18773517,20480188.977813095
TFIM,cnot_count,-3.0999999999999996,600177.3217920837,125491565.73415975,20480352.26895615
TFIM,cnot_count,-3.075,591604.0947963715,124286263.12930448,20480515.542209525
TFIM,cnot_count,-3.05,583153.3472415364,123087903.30709243,20480678.79133721
TFIM,cnot_count,-3.025,574823.3293518217,121896473.17516637,20480842.009798862
TFIM,cnot_count,-3.0,566612.3163508326,120711959.61473618,20481005.190733537
TFIM,cnot_count,-2.975,558518.6081043892,119534349.48042028,20481168.326942317
TFIM,cnot_count,-2.9499999999999997,550540.5287684813,118363629.60008635,20481331.41087052
TFIM,cnot_count,-2.925,542676.4264422539,117199786.77469084,20481494.43458841
TFIM,cnot_count,-2.9,534924.6728259538,116042807.77811752,20481657.38977024
TFIM,cnot_count,-2.875,527283.6628837609,114892679.35701354,20481820.26767311
TFIM,cnot_count,-2.85,519751.8145114399,113749388.23062193,20481983.05911317
TFIM,cnot_count,-2.8249999999999997,512327.5682087366,112612921.0906186,20482145.754441235
TFIM,cnot_count,-2.8,505009.3867564645,111483264.6009398,20482308.3435164
TFIM,cnot_count,-2.775,497795.75489819795,110360405.39761323,20482470.8156778
TFIM,cnot_count,-2.75,490685.1790265154,109244330.08858515,20482633.159714915
TFIM,cnot_count,-2.725,483676.18687372695,108135025.25354804,20482795.363835506
TFIM,cnot_count,-2.6999999999999997,476767.3272070259,107032477.4437611,20482957.415631335
TFIM,cnot_count,-2.675,469957.16952799034,105936673.18187702,20483119.30204181
TFIM,cnot_count,-2.65,463244.30377637956,104847598.96175985,20483281.009315055
TFIM,cnot_count,-2.625,456627.3400381722,103765241.24830316,20483442.52296587
TFIM,cnot_count,-2.5999999999999996,450104.9082577642,102689586.4772485,20483603.827731032
TFIM,cnot_count,-2.5749999999999997,443675.65795429185,101620621.05499902,20483764.9075216
TFIM,cnot_count,-2.55,437338.2579419995,100558331.35843277,20483925.74537107
TFIM,cnot_count,-2.525,431091.39605461137,99502703.73471324,20484086.323380463
TFIM,cnot_count,-2.5,424933.7788736376,98453724.50109884,20484246.622658767
TFIM,cnot_count,-2.4749999999999996,418864.13146056805,97411379.94474745,20484406.623259302
TFIM,cnot_count,-2.4499999999999997,412881.1970928892,96375656.32252452,20484566.304110814
TFIM,cnot_count,-2.425,406983.73700388166,95346539.8608027,20484725.642944034
TFIM,cnot_count,-2.4,401170.53012612776,94324016.75526388,20484884.616211258
TFIM,cnot_count,-2.375,395440.3728386927,93308073.17069635,20485043.199001025
TFIM,cnot_count,-2.3499999999999996,389792.07871791784,92298695.24079174,20485201.364944916
TFIM,cnot_count,-2.3249999999999997,384224.4782917769,91295869.0679384,20485359.086117193
TFIM,cnot_count,-2.3,378736.41879774537,90299580.72301269,20485516.332926326
TFIM,cnot_count,-2.275,373326.7639441254,89309816.24516876,20485673.0739976
TFIM,cnot_count,-2.25,367994.39367479424,88326561.64162357,20485829.27604504
TFIM,cnot_count,-2.2249999999999996,362738.2039373066,87349802.88744491,20485984.903733727
TFIM,cnot_count,-2.1999999999999997,357557.10645431955,86379525.92532964,20486139.919529263
TFIM,cnot_count,-2.175,352450.02849828126,85415716.66538513,20486294.283534408
TFIM,cnot_count,-2.15,347415.9126693484,84458360.9849067,20486447.953311026
TFIM,cnot_count,-2.125,342453.7166764721,83507444.72815008,20486600.883686196
TFIM,cnot_count,-2.0999999999999996,337562.4131216235,82562953.7061059,20486753.02654083
TFIM,cnot_count,-2.0749999999999997,332740.9892870975,81624873.69626738,20486904.33057812
TFIM,cnot_count,-2.05,327988.4469258694,80693190.44239694,20487054.741070524
TFIM,cnot_count,-2.025,323303.8020549423,79767889.65429081,20487204.199582938
TFIM,cnot_count,-2.0,318686.084751655,78848957.00754021,20487352.64366811
TFIM,cnot_count,-1.9749999999999996,314134.3389529079,77936378.14328837,20487500.00653324
TFIM,cnot_count,-1.9499999999999997,309647.6222572586,77030138.66798857,20487646.21667214
TFIM,cnot_count,-1.9249999999999998,305225.00572985224,76130224.1531539,20487791.197460774
TFIM,cnot_count,-1.9,300865.57371014374,75236620.1351088,20487934.86671049
TFIM,cnot_count,-1.875,296568.4236223774,74349312.11473511,20488077.13617437
TFIM,cnot_count,-1.8499999999999996,292332.665788776,73468285.55721614,20488217.911001086
