model,metric,log10_epsilon,Trotter_fit,MPF_fit,QSVT_fit_corrected
TFIM,cnot_count,-2.625,98455.79669062975,920490.4335749893,20483442.52296587
TFIM,cnot_count,-2.5999999999999996,97099.29233256886,915499.7490501949,20483603.827731032
TFIM,cnot_count,-2.5749999999999997,95761.88766824304,910515.2690274372,20483764.9075216
TFIM,cnot_count,-2.55,94443.31499933617,905537.0119379442,20483925.74537107
TFIM,cnot_count,-2.525,93143.3104436487,900564.9963460192,20484086.323380463
TFIM,cnot_count,-2.5,91861.61388228706,895599.2409505721,20484246.622658767
TFIM,cnot_count,-2.4749999999999996,90597.96890765449,890639.7645866779,20484406.623259302
TFIM,cnot_count,-2.4499999999999997,89352.12277223235,885686.5862271554,20484566.304110814
TFIM,cnot_count,-2.425,88123.8263381435,880739.7249841733,20484725.642944034
TFIM,cnot_count,-2.4,86912.83402749206,875799.20011088,20484884.616211258
TFIM,cnot_count,-2.375,85718.9037734693,870865.0310030591,20485043.199001025
TFIM,cnot_count,-2.3499999999999996,84541.79697221877,865937.2372008206,20485201.364944916
TFIM,cnot_count,-2.3249999999999997,83381.27843545441,861015.8383903046,20485359.086117193
TFIM,cnot_count,-2.3,82237.11634382425,856100.8544054234,20485516.332926326
TFIM,cnot_count,-2.275,81109.08220101304,851192.305229635,20485673.0739976
TFIM,cnot_count,-2.25,79996.95078857837,846290.2109977305,20485829.27604504
TFIM,cnot_count,-2.2249999999999996,78900.50012151353,841394.5919976659,20485984.903733727
TFIM,cnot_count,-2.1999999999999997,77819.51140453313,836505.4686724211,20486139.919529263
TFIM,cnot_count,-2.175,76753.76898907611,831622.8616218863,20486294.283534408
TFIM,cnot_count,-2.15,75703.06033102024,826746.7916047778,20486447.953311026
TFIM,cnot_count,-2.125,74667.17594910674,821877.2795405985,20486600.883686196
TFIM,cnot_count,-2.0999999999999996,73645.90938406916,817014.3465116132,20486753.02654083
TFIM,cnot_count,-2.0749999999999997,72639.05715846494,812158.0137648784,20486904.33057812
TFIM,cnot_count,-2.05,71646.41873720656,807308.3027142831,20487054.741070524
TFIM,cnot_count,-2.025,70667.7964887896,802465.2349426493,20487204.199582938
TFIM,cnot_count,-2.0,69702.99564721901,797628.8322038477,20487352.64366811
TFIM,cnot_count,-1.9749999999999996,68751.82427462893,792799.1164249623,20487500.00653324
TFIM,cnot_count,-1.9499999999999997,67814.0932246002,787976.1097084911,20487646.21667214
TFIM,cnot_count,-1.9249999999999998,66889.61610617321,783159.8343345785,20487791.197460774
TFIM,cnot_count,-1.9,65978.20924855866,778350.3127632978,20487934.86671049
TFIM,cnot_count,-1.875,65079.691666549974,773547.567636963,20488077.13617437
TFIM,cnot_count,-1.8499999999999996,64193.88502663791,768751.6217824864,20488217.911001086
TFIM,cnot_count,-1.8249999999999997,63320.6136138341,763962.4982137855,20488357.08912899
TFIM,cnot_count,-1.7999999999999998,62459.70429920759,759180.2201342146,20488494.560613144
TFIM,cnot_count,-1.775,61610.98650814063,754404.8109390603,20488630.206876714
TFIM,cnot_count,-1.75,60774.29218931304,749636.2942180661,20488763.899875876
TFIM,cnot_count,-1.7249999999999996,59949.45578442189,744874.6937580195,20488895.5011673
TFIM,cnot_count,-1.6999999999999997,59136.31419864903,740120.0335453654,20489024.860864505
TFIM,cnot_count,-1.6749999999999998,58334.70677188728,735372.3377688862,20489151.81646675
TFIM,cnot_count,-1.65,57544.475250739386,730631.6308224183,20489276.191542774
TFIM,cnot_count,-1.625,56765.46376130675,725897.9373076308,20489397.794247758
TFIM,cnot_count,-1.5999999999999996,55997.51878278347,721171.2820368427,20489516.415648434
TFIM,cnot_count,-1.5749999999999997,55240.48912187785,716451.6900359035,20489631.827826597
TFIM,cnot_count,-1.5499999999999998,54494.225888082394,711739.1865471242,20489743.781726662
TFIM,cnot_count,-1.525,53758.58246981943,707033.7970322615,20489852.004705507
TFIM,cnot_count,-1.5,53033.414511489056,702335.5471755594,20489956.197736315
TFIM,cnot_count,-1.4749999999999996,52318.57989145151,697644.4628868554,20490056.032207653
TFIM,cnot_count,-1.4499999999999997,51613.938700980805,692960.5703047344,20490151.146248076
TFIM,cnot_count,-1.4249999999999998,50919.35322422665,688283.8957997579,20490241.140492167
TFIM,cnot_count,-1.4,50234.68791923106,683614.4659777381,20490325.573187336
TFIM,cnot_count,-1.375,49559.80940004751,678952.3076830931,20490403.954517674
TFIM,cnot_count,-1.3499999999999996,48894.58642001705,674297.4480022617,20490475.739995543
TFIM,cnot_count,-1.3249999999999997,48238.8898562634,669649.914267176,20490540.322738133
TFIM,cnot_count,-1.2999999999999998,47592.59269547326,665009.7340588172,20490597.024402354
TFIM,cnot_count,-1.275,46955.570021039435,660376.9352108359,20490645.084499307
TFIM,cnot_count,-1.25,46327.69900164881,655751.5458132435,20490683.647740796
TFIM,cnot_count,-1.2249999999999996,45708.85888141111,651133.5942161786,20490711.748981427
TFIM,cnot_count,-1.1999999999999997,45098.93097163214,646523.1090337541,20490728.295207366
TFIM,cnot_count,-1.1749999999999998,44497.798644349095,641920.1191479719,20490732.043873835
TFIM,cnot_count,-1.15,43905.34732775997,637324.6537127333,20490721.57669802
TFIM,cnot_count,-1.125,43321.46450369184,632736.7421579163,20490695.267756995
TFIM,cnot_count,-1.0999999999999996,42746.03970727467,628156.4141935507,20490651.244393844
TFIM,cnot_count,-1.0749999999999997,42178.964529004596,623583.6998140656,20490587.33896697
TFIM,cnot_count,-1.0499999999999998,41620.132619402524,619018.6293026423,20490501.02884358
TFIM,cnot_count,-1.025,41069.439696505,614461.2332356429,20490389.361154124
TFIM,cnot_count,-1.0,40526.78355644671,609911.5424871477,20490248.857598215
TFIM,t_count,-5.0,43294119.10295547,116079562.06927308,192282778.68887103
TFIM,t_count,-4.975,42619604.47833604,115402630.39344706,191926786.78626212
TFIM,t_count,-4.95,41955343.81296203,114727627.46002983,191570776.84910825
TFIM,t_count,-4.925,41301182.96263157,114054553.56044187,191214748.8292027
TFIM,t_count,-4.9,40656970.08045156,113383408.98702945,190858702.67788473
TFIM,t_count,-4.875,40022555.58277357,112714194.03306621,190502638.3460275
TFIM,t_count,-4.85,39397792.115629315,112046908.99276255,190146555.78403166
TFIM,t_count,-4.825,38782534.521663204,111381554.16126873,189790454.94181365
TFIM,t_count,-4.8,38176639.80755203,110718129.83468315,189434335.7687982
TFIM,t_count,-4.775,37579967.111905396,110056636.31005602,189078198.21390617
TFIM,t_count,-4.75,36992377.67363882,109397073.88539658,188722042.2255458
TFIM,t_count,-4.725,36413734.80081549,108739442.85968007,188365867.75160095
TFIM,t_count,-4.7,35843903.839945175,108083743.53285107,188009674.73942098
TFIM,t_count,-4.675,35282752.14573794,107429976.20583297,187653463.1358088
TFIM,t_count,-4.65,34730149.051303536,106778141.18053165,187297232.88700843
TFIM,t_count,-4.625,34185965.838789605,106128238.75984345,186940983.9386942
TFIM,t_count,-4.6,33650075.710454896,105480269.24766013,186584716.23595762
TFIM,t_count,-4.575,33122353.760167908,104834232.9488761,186228429.72329408
TFIM,t_count,-4.55,32602676.945325453,104190130.16939573,185872124.3445893
TFIM,t_count,-4.525,32090924.05918805,103547961.21613765,185515800.0431062
TFIM,t_count,-4.5,31586975.703620497,102907726.39704354,185159456.7614702
TFIM,t_count,-4.475,31090714.262237303,102269426.02108352,184803094.4416536
TFIM,t_count,-4.45,30602023.87394184,101633060.39826277,184446713.02496123
TFIM,t_count,-4.425,30120790.40685873,100998629.83963016,184090312.4520139
TFIM,t_count,-4.4,29646901.432647467,100366134.6572825,183733892.6627316
TFIM,t_count,-4.375,29180246.20119905,99735575.16437356,183377453.59631726
TFIM,t_count,-4.35,28720715.615701776,99106951.67511985,183020995.1912391
TFIM,t_count,-4.325,28268202.208078638,98480264.50480796,182664517.38520974
TFIM,t_count,-4.3,27822600.114784125,97855513.9698021,182308020.1151717
TFIM,t_count,-4.275,27383805.052960526,97232700.38755095,181951503.31727237
TFIM,t_count,-4.25,26951714.29694407,96611824.07659535,181594966.92684737
TFIM,t_count,-4.225,26526226.655119542,95992885.35657474,181238410.87839794
